time_iso8601,clones_total,clones_unique,views_total,views_unique
2021-10-26 00:00:00+00:00,206,60,159,19
2021-10-27 00:00:00+00:00,181,63,93,15
2021-10-28 00:00:00+00:00,146,72,78,24
2021-10-29 00:00:00+00:00,133,55,25,13
2021-10-30 00:00:00+00:00,123,57,10,8
2021-10-31 00:00:00+00:00,129,42,7,5
2021-11-01 00:00:00+00:00,149,67,34,18
2021-11-02 00:00:00+00:00,194,83,59,22
2021-11-03 00:00:00+00:00,196,77,49,20
2021-11-04 00:00:00+00:00,156,60,57,19
2021-11-05 00:00:00+00:00,103,55,82,18
2021-11-06 00:00:00+00:00,60,35,5,5
2021-11-07 00:00:00+00:00,66,34,4,4
2021-11-08 00:00:00+00:00,108,70,18,14
2021-11-09 00:00:00+00:00,26,22,3,3
