time_iso8601,forks_cumulative
2020-07-06 00:00:00+00:00,1
2020-07-19 00:00:00+00:00,2
2020-09-11 00:00:00+00:00,3
2020-10-04 00:00:00+00:00,4
2020-10-24 00:00:00+00:00,5
2020-10-29 00:00:00+00:00,6
2020-11-09 00:00:00+00:00,7
2020-11-13 00:00:00+00:00,8
2020-12-16 00:00:00+00:00,9
2021-01-04 00:00:00+00:00,10
2021-01-15 00:00:00+00:00,11
2021-02-09 00:00:00+00:00,12
2021-02-10 00:00:00+00:00,13
2021-02-25 00:00:00+00:00,14
2021-03-06 00:00:00+00:00,15
2021-03-29 00:00:00+00:00,16
2021-03-31 00:00:00+00:00,17
2021-04-22 00:00:00+00:00,18
2021-04-30 00:00:00+00:00,19
2021-05-29 00:00:00+00:00,21
2021-06-08 00:00:00+00:00,22
2021-06-21 00:00:00+00:00,23
2021-06-22 00:00:00+00:00,24
2021-07-01 00:00:00+00:00,25
2021-07-10 00:00:00+00:00,26
2021-07-13 00:00:00+00:00,27
2021-07-14 00:00:00+00:00,28
2021-09-05 00:00:00+00:00,29
2021-09-28 00:00:00+00:00,30
2021-09-29 00:00:00+00:00,31
2021-10-21 00:00:00+00:00,32
2021-10-25 00:00:00+00:00,33
2021-10-26 00:00:00+00:00,34
2021-10-27 00:00:00+00:00,35
2021-10-30 00:00:00+00:00,36
2021-11-01 00:00:00+00:00,37
