time_iso8601,clones_total,clones_unique,views_total,views_unique
2021-10-26 00:00:00+00:00,625,94,204,55
2021-10-27 00:00:00+00:00,803,115,373,80
2021-10-28 00:00:00+00:00,424,109,182,67
2021-10-29 00:00:00+00:00,549,99,137,58
2021-10-30 00:00:00+00:00,238,87,60,26
2021-10-31 00:00:00+00:00,228,78,61,21
2021-11-01 00:00:00+00:00,515,111,124,56
2021-11-02 00:00:00+00:00,454,111,202,73
2021-11-03 00:00:00+00:00,451,118,103,58
2021-11-04 00:00:00+00:00,524,108,162,73
2021-11-05 00:00:00+00:00,492,104,165,62
2021-11-06 00:00:00+00:00,309,86,49,27
2021-11-07 00:00:00+00:00,318,85,72,30
2021-11-08 00:00:00+00:00,522,156,118,65
2021-11-09 00:00:00+00:00,51,23,48,10
