time_iso8601,stars_cumulative
2020-08-05 00:00:00+00:00,14
2020-08-06 00:00:00+00:00,18
2020-08-07 00:00:00+00:00,21
2020-08-08 00:00:00+00:00,22
2020-08-10 00:00:00+00:00,23
2020-08-12 00:00:00+00:00,25
2020-08-13 00:00:00+00:00,26
2020-08-17 00:00:00+00:00,27
2020-08-25 00:00:00+00:00,28
2020-08-31 00:00:00+00:00,31
2020-09-05 00:00:00+00:00,35
2020-09-08 00:00:00+00:00,37
2020-09-12 00:00:00+00:00,39
2020-09-16 00:00:00+00:00,40
2020-09-26 00:00:00+00:00,41
2020-09-28 00:00:00+00:00,43
2020-09-30 00:00:00+00:00,47
2020-10-01 00:00:00+00:00,48
2020-10-03 00:00:00+00:00,49
2020-10-13 00:00:00+00:00,50
2020-10-14 00:00:00+00:00,51
2020-10-20 00:00:00+00:00,52
2020-10-21 00:00:00+00:00,53
2020-10-29 00:00:00+00:00,54
2020-10-30 00:00:00+00:00,55
2020-11-01 00:00:00+00:00,56
2020-11-20 00:00:00+00:00,58
2020-12-23 00:00:00+00:00,59
2020-12-28 00:00:00+00:00,60
2020-12-31 00:00:00+00:00,61
2021-01-01 00:00:00+00:00,62
2021-01-03 00:00:00+00:00,63
2021-01-04 00:00:00+00:00,64
2021-01-11 00:00:00+00:00,65
2021-01-13 00:00:00+00:00,66
2021-01-17 00:00:00+00:00,67
2021-01-18 00:00:00+00:00,68
2021-01-19 00:00:00+00:00,69
2021-01-22 00:00:00+00:00,70
2021-01-24 00:00:00+00:00,71
2021-01-28 00:00:00+00:00,73
2021-02-06 00:00:00+00:00,74
2021-02-17 00:00:00+00:00,75
2021-03-12 00:00:00+00:00,76
2021-03-16 00:00:00+00:00,77
2021-03-18 00:00:00+00:00,79
2021-03-19 00:00:00+00:00,81
2021-03-25 00:00:00+00:00,83
2021-03-29 00:00:00+00:00,84
2021-04-03 00:00:00+00:00,85
2021-04-12 00:00:00+00:00,86
2021-04-13 00:00:00+00:00,87
2021-04-15 00:00:00+00:00,88
2021-04-16 00:00:00+00:00,92
2021-04-20 00:00:00+00:00,93
2021-04-22 00:00:00+00:00,94
2021-04-23 00:00:00+00:00,95
2021-04-26 00:00:00+00:00,96
2021-04-29 00:00:00+00:00,97
2021-05-01 00:00:00+00:00,98
2021-05-21 00:00:00+00:00,99
2021-05-22 00:00:00+00:00,100
2021-05-25 00:00:00+00:00,101
2021-05-26 00:00:00+00:00,102
2021-06-01 00:00:00+00:00,104
2021-06-02 00:00:00+00:00,105
2021-06-10 00:00:00+00:00,106
2021-06-13 00:00:00+00:00,107
2021-06-16 00:00:00+00:00,108
2021-07-02 00:00:00+00:00,109
2021-07-03 00:00:00+00:00,110
2021-07-06 00:00:00+00:00,111
2021-07-14 00:00:00+00:00,113
2021-07-15 00:00:00+00:00,114
2021-07-19 00:00:00+00:00,115
2021-07-20 00:00:00+00:00,116
2021-07-22 00:00:00+00:00,117
2021-08-04 00:00:00+00:00,118
2021-08-07 00:00:00+00:00,119
2021-08-18 00:00:00+00:00,120
2021-08-20 00:00:00+00:00,121
2021-08-22 00:00:00+00:00,122
2021-08-24 00:00:00+00:00,123
2021-08-25 00:00:00+00:00,125
2021-08-27 00:00:00+00:00,126
2021-09-01 00:00:00+00:00,127
2021-09-03 00:00:00+00:00,128
2021-09-10 00:00:00+00:00,129
2021-09-12 00:00:00+00:00,130
2021-09-14 00:00:00+00:00,131
2021-09-15 00:00:00+00:00,132
2021-09-17 00:00:00+00:00,134
2021-09-24 00:00:00+00:00,135
2021-09-26 00:00:00+00:00,136
2021-10-02 00:00:00+00:00,137
2021-10-09 00:00:00+00:00,138
2021-10-10 00:00:00+00:00,139
2021-10-19 00:00:00+00:00,140
2021-10-26 00:00:00+00:00,141
2021-10-30 00:00:00+00:00,143
2021-11-03 00:00:00+00:00,144
2021-11-04 00:00:00+00:00,145
2021-11-08 00:00:00+00:00,146
