time_iso8601,clones_total,clones_unique,views_total,views_unique
2021-10-26 00:00:00+00:00,457,91,60,13
2021-10-27 00:00:00+00:00,437,125,39,12
2021-10-28 00:00:00+00:00,383,100,84,21
2021-10-29 00:00:00+00:00,290,90,38,16
2021-10-30 00:00:00+00:00,129,66,9,8
2021-10-31 00:00:00+00:00,151,53,10,9
2021-11-01 00:00:00+00:00,345,103,57,17
2021-11-02 00:00:00+00:00,424,128,40,21
2021-11-03 00:00:00+00:00,387,116,69,43
2021-11-04 00:00:00+00:00,321,102,51,31
2021-11-05 00:00:00+00:00,307,89,25,15
2021-11-06 00:00:00+00:00,252,74,24,6
2021-11-07 00:00:00+00:00,215,62,12,9
2021-11-08 00:00:00+00:00,340,109,39,24
2021-11-09 00:00:00+00:00,31,25,5,4
