time_iso8601,stars_cumulative
2018-02-14 00:00:00+00:00,5
2018-02-19 00:00:00+00:00,6
2018-03-08 00:00:00+00:00,7
2018-03-09 00:00:00+00:00,8
2018-03-13 00:00:00+00:00,9
2018-06-22 00:00:00+00:00,10
2018-06-26 00:00:00+00:00,11
2018-07-09 00:00:00+00:00,12
2018-07-11 00:00:00+00:00,13
2018-07-24 00:00:00+00:00,14
2018-07-25 00:00:00+00:00,15
2018-07-28 00:00:00+00:00,16
2018-08-20 00:00:00+00:00,17
2018-09-11 00:00:00+00:00,18
2018-10-04 00:00:00+00:00,19
2018-10-19 00:00:00+00:00,20
2018-11-02 00:00:00+00:00,21
2018-11-20 00:00:00+00:00,22
2018-12-01 00:00:00+00:00,23
2019-01-07 00:00:00+00:00,24
2019-02-02 00:00:00+00:00,25
2019-02-04 00:00:00+00:00,26
2019-02-12 00:00:00+00:00,27
2019-03-29 00:00:00+00:00,28
2019-04-01 00:00:00+00:00,30
2019-04-18 00:00:00+00:00,31
2019-05-08 00:00:00+00:00,32
2019-05-13 00:00:00+00:00,33
2019-05-15 00:00:00+00:00,34
2019-05-18 00:00:00+00:00,35
2019-05-26 00:00:00+00:00,36
2019-06-09 00:00:00+00:00,37
2019-06-12 00:00:00+00:00,38
2019-06-13 00:00:00+00:00,39
2019-06-22 00:00:00+00:00,40
2019-06-26 00:00:00+00:00,41
2019-07-09 00:00:00+00:00,42
2019-07-17 00:00:00+00:00,43
2019-08-20 00:00:00+00:00,44
2019-09-01 00:00:00+00:00,45
2019-10-07 00:00:00+00:00,46
2019-10-13 00:00:00+00:00,47
2019-10-27 00:00:00+00:00,48
2019-11-06 00:00:00+00:00,49
2019-11-25 00:00:00+00:00,50
2019-12-06 00:00:00+00:00,51
2019-12-19 00:00:00+00:00,52
2020-01-27 00:00:00+00:00,53
2020-02-21 00:00:00+00:00,54
2020-02-25 00:00:00+00:00,55
2020-03-01 00:00:00+00:00,56
2020-03-06 00:00:00+00:00,57
2020-03-14 00:00:00+00:00,58
2020-03-17 00:00:00+00:00,59
2020-04-03 00:00:00+00:00,60
2020-04-17 00:00:00+00:00,61
2020-04-22 00:00:00+00:00,62
2020-05-03 00:00:00+00:00,63
2020-05-10 00:00:00+00:00,64
2020-05-31 00:00:00+00:00,65
2020-06-03 00:00:00+00:00,66
2020-06-17 00:00:00+00:00,68
2020-07-07 00:00:00+00:00,70
2020-07-11 00:00:00+00:00,71
2020-08-31 00:00:00+00:00,73
2020-09-01 00:00:00+00:00,77
2020-09-02 00:00:00+00:00,78
2020-09-04 00:00:00+00:00,81
2020-09-06 00:00:00+00:00,83
2020-09-16 00:00:00+00:00,84
2020-09-21 00:00:00+00:00,85
2020-09-24 00:00:00+00:00,86
2020-09-28 00:00:00+00:00,87
2020-10-04 00:00:00+00:00,89
2020-10-20 00:00:00+00:00,90
2020-10-27 00:00:00+00:00,91
2020-11-04 00:00:00+00:00,92
2020-12-19 00:00:00+00:00,93
2020-12-21 00:00:00+00:00,94
2020-12-25 00:00:00+00:00,95
2021-01-05 00:00:00+00:00,96
2021-01-10 00:00:00+00:00,98
2021-01-13 00:00:00+00:00,99
2021-01-16 00:00:00+00:00,100
2021-01-23 00:00:00+00:00,101
2021-01-27 00:00:00+00:00,102
2021-02-02 00:00:00+00:00,103
2021-02-11 00:00:00+00:00,104
2021-02-20 00:00:00+00:00,105
2021-02-24 00:00:00+00:00,107
2021-03-04 00:00:00+00:00,108
2021-03-13 00:00:00+00:00,109
2021-03-23 00:00:00+00:00,110
2021-04-11 00:00:00+00:00,111
2021-04-15 00:00:00+00:00,112
2021-04-16 00:00:00+00:00,113
2021-04-19 00:00:00+00:00,114
2021-04-20 00:00:00+00:00,115
2021-04-22 00:00:00+00:00,117
2021-04-28 00:00:00+00:00,118
2021-05-21 00:00:00+00:00,119
2021-05-28 00:00:00+00:00,120
2021-06-21 00:00:00+00:00,121
2021-07-03 00:00:00+00:00,122
2021-07-04 00:00:00+00:00,123
2021-07-10 00:00:00+00:00,124
2021-07-11 00:00:00+00:00,125
2021-07-23 00:00:00+00:00,126
2021-08-02 00:00:00+00:00,127
2021-08-21 00:00:00+00:00,128
2021-09-12 00:00:00+00:00,129
2021-09-28 00:00:00+00:00,130
2021-10-07 00:00:00+00:00,131
2021-10-17 00:00:00+00:00,132
2021-11-03 00:00:00+00:00,133
2021-11-06 00:00:00+00:00,134
2021-11-07 00:00:00+00:00,135
2021-11-08 00:00:00+00:00,136
