time_iso8601,clones_total,clones_unique,views_total,views_unique
2021-10-26 00:00:00+00:00,10136,617,5566,922
2021-10-27 00:00:00+00:00,8153,748,4882,937
2021-10-28 00:00:00+00:00,7547,1087,2942,991
2021-10-29 00:00:00+00:00,6439,844,2605,841
2021-10-30 00:00:00+00:00,2504,247,1165,367
2021-10-31 00:00:00+00:00,2554,289,1126,394
2021-11-01 00:00:00+00:00,7761,779,2836,899
2021-11-02 00:00:00+00:00,7629,887,2561,970
2021-11-03 00:00:00+00:00,6288,700,3232,1022
2021-11-04 00:00:00+00:00,6703,784,2808,890
2021-11-05 00:00:00+00:00,5741,700,2668,876
2021-11-06 00:00:00+00:00,2861,339,1133,450
2021-11-07 00:00:00+00:00,2475,240,1209,420
2021-11-08 00:00:00+00:00,7478,921,2831,989
2021-11-09 00:00:00+00:00,506,97,151,66
