time_iso8601,clones_total,clones_unique,views_total,views_unique
2021-10-26 00:00:00+00:00,130,40,6,1
2021-10-27 00:00:00+00:00,96,43,44,5
2021-10-28 00:00:00+00:00,133,60,2,2
2021-10-29 00:00:00+00:00,167,66,19,6
2021-10-30 00:00:00+00:00,123,55,2,2
2021-10-31 00:00:00+00:00,123,50,0,0
2021-11-01 00:00:00+00:00,160,76,14,5
2021-11-02 00:00:00+00:00,278,108,11,1
2021-11-03 00:00:00+00:00,294,105,4,4
2021-11-04 00:00:00+00:00,282,93,2,2
2021-11-05 00:00:00+00:00,259,89,7,5
2021-11-06 00:00:00+00:00,218,75,1,1
2021-11-07 00:00:00+00:00,209,73,0,0
2021-11-08 00:00:00+00:00,257,99,14,4
2021-11-09 00:00:00+00:00,15,15,0,0
