time_iso8601,forks_cumulative
2020-06-28 00:00:00+00:00,1
2020-08-16 00:00:00+00:00,2
2020-10-19 00:00:00+00:00,3
2020-10-22 00:00:00+00:00,5
2020-10-23 00:00:00+00:00,6
2020-11-13 00:00:00+00:00,7
2020-11-15 00:00:00+00:00,8
2020-11-22 00:00:00+00:00,9
2020-11-28 00:00:00+00:00,10
2021-03-10 00:00:00+00:00,11
2021-04-21 00:00:00+00:00,12
2021-05-05 00:00:00+00:00,13
2021-05-14 00:00:00+00:00,14
2021-07-22 00:00:00+00:00,15
2021-08-03 00:00:00+00:00,16
2021-08-04 00:00:00+00:00,17
2021-08-05 00:00:00+00:00,18
2021-08-27 00:00:00+00:00,19
2021-09-09 00:00:00+00:00,20
2021-09-17 00:00:00+00:00,21
2021-10-21 00:00:00+00:00,22
2021-10-25 00:00:00+00:00,23
2021-11-09 00:00:00+00:00,24
