time_iso8601,stars_cumulative
2020-06-02 00:00:00+00:00,2
2020-06-07 00:00:00+00:00,3
2020-06-20 00:00:00+00:00,4
2020-06-24 00:00:00+00:00,5
2020-09-03 00:00:00+00:00,6
2020-09-13 00:00:00+00:00,7
2020-09-16 00:00:00+00:00,9
2020-09-25 00:00:00+00:00,10
2020-10-06 00:00:00+00:00,12
2020-10-11 00:00:00+00:00,13
2020-10-21 00:00:00+00:00,15
2020-10-29 00:00:00+00:00,16
2020-10-30 00:00:00+00:00,17
2020-10-31 00:00:00+00:00,18
2020-11-04 00:00:00+00:00,19
2020-11-05 00:00:00+00:00,20
2020-11-12 00:00:00+00:00,21
2020-11-15 00:00:00+00:00,22
2020-11-17 00:00:00+00:00,23
2020-11-21 00:00:00+00:00,24
2020-11-24 00:00:00+00:00,25
2020-11-28 00:00:00+00:00,26
2020-12-03 00:00:00+00:00,27
2021-01-18 00:00:00+00:00,28
2021-01-25 00:00:00+00:00,29
2021-01-26 00:00:00+00:00,30
2021-01-30 00:00:00+00:00,31
2021-02-02 00:00:00+00:00,32
2021-02-09 00:00:00+00:00,33
2021-02-22 00:00:00+00:00,34
2021-02-26 00:00:00+00:00,35
2021-02-28 00:00:00+00:00,36
2021-03-05 00:00:00+00:00,37
2021-04-15 00:00:00+00:00,38
2021-05-01 00:00:00+00:00,39
2021-05-03 00:00:00+00:00,40
2021-05-04 00:00:00+00:00,41
2021-05-10 00:00:00+00:00,42
2021-05-21 00:00:00+00:00,43
2021-06-06 00:00:00+00:00,44
2021-06-21 00:00:00+00:00,45
2021-06-28 00:00:00+00:00,46
2021-07-05 00:00:00+00:00,47
2021-07-29 00:00:00+00:00,48
2021-07-30 00:00:00+00:00,49
2021-08-01 00:00:00+00:00,50
2021-08-03 00:00:00+00:00,51
2021-08-07 00:00:00+00:00,52
2021-08-11 00:00:00+00:00,53
2021-08-17 00:00:00+00:00,55
2021-08-19 00:00:00+00:00,56
2021-08-21 00:00:00+00:00,57
2021-08-22 00:00:00+00:00,58
2021-09-04 00:00:00+00:00,59
2021-09-09 00:00:00+00:00,60
2021-09-11 00:00:00+00:00,61
2021-09-13 00:00:00+00:00,62
2021-09-15 00:00:00+00:00,63
2021-09-17 00:00:00+00:00,64
2021-09-18 00:00:00+00:00,65
2021-09-28 00:00:00+00:00,66
2021-09-30 00:00:00+00:00,67
2021-10-14 00:00:00+00:00,68
2021-10-19 00:00:00+00:00,69
2021-11-08 00:00:00+00:00,70
