time_iso8601,clones_total,clones_unique,views_total,views_unique
2021-10-26 00:00:00+00:00,12.0,4.0,88,21
2021-10-27 00:00:00+00:00,3.0,2.0,84,29
2021-10-28 00:00:00+00:00,7.0,4.0,99,25
2021-10-29 00:00:00+00:00,7.0,5.0,44,23
2021-10-30 00:00:00+00:00,1.0,1.0,5,4
2021-10-31 00:00:00+00:00,2.0,2.0,43,10
2021-11-01 00:00:00+00:00,65.0,39.0,46,25
2021-11-02 00:00:00+00:00,120.0,61.0,49,28
2021-11-03 00:00:00+00:00,80.0,45.0,125,56
2021-11-04 00:00:00+00:00,21.0,15.0,104,34
2021-11-05 00:00:00+00:00,8.0,3.0,42,19
2021-11-06 00:00:00+00:00,,,13,8
2021-11-07 00:00:00+00:00,2.0,2.0,20,10
2021-11-08 00:00:00+00:00,7.0,4.0,86,30
2021-11-09 00:00:00+00:00,,,7,4
