time_iso8601,clones_total,clones_unique,views_total,views_unique
2021-10-26 00:00:00+00:00,12,4,88,21
2021-10-27 00:00:00+00:00,3,2,84,29
2021-10-28 00:00:00+00:00,7,4,99,25
2021-10-29 00:00:00+00:00,7,5,44,23
2021-10-30 00:00:00+00:00,1,1,5,4
2021-10-31 00:00:00+00:00,2,2,43,10
2021-11-01 00:00:00+00:00,65,39,46,25
2021-11-02 00:00:00+00:00,120,61,49,28
2021-11-03 00:00:00+00:00,80,45,125,56
2021-11-04 00:00:00+00:00,21,15,104,34
2021-11-05 00:00:00+00:00,8,3,42,19
2021-11-06 00:00:00+00:00,0,0,13,8
2021-11-07 00:00:00+00:00,2,2,20,10
2021-11-08 00:00:00+00:00,7,4,86,30
2021-11-09 00:00:00+00:00,0,0,7,4
