time_iso8601,forks_cumulative
2020-07-30 00:00:00+00:00,1
2020-07-31 00:00:00+00:00,2
2020-10-16 00:00:00+00:00,3
2020-10-20 00:00:00+00:00,4
2020-11-03 00:00:00+00:00,5
2020-11-18 00:00:00+00:00,6
2020-11-22 00:00:00+00:00,7
2020-11-27 00:00:00+00:00,8
2020-12-01 00:00:00+00:00,9
2020-12-25 00:00:00+00:00,10
2020-12-27 00:00:00+00:00,11
2021-01-25 00:00:00+00:00,12
2021-01-26 00:00:00+00:00,13
2021-03-05 00:00:00+00:00,14
2021-03-13 00:00:00+00:00,15
2021-04-15 00:00:00+00:00,16
2021-04-16 00:00:00+00:00,17
2021-04-19 00:00:00+00:00,18
2021-05-05 00:00:00+00:00,19
2021-06-07 00:00:00+00:00,20
2021-06-17 00:00:00+00:00,22
2021-07-09 00:00:00+00:00,23
2021-08-14 00:00:00+00:00,24
2021-08-27 00:00:00+00:00,25
2021-09-09 00:00:00+00:00,26
2021-09-16 00:00:00+00:00,27
2021-10-20 00:00:00+00:00,28
2021-10-21 00:00:00+00:00,29
2021-10-25 00:00:00+00:00,30
2021-11-01 00:00:00+00:00,31
