time_iso8601,clones_total,clones_unique,views_total,views_unique
2021-10-26 00:00:00+00:00,4087,389,333,60
2021-10-27 00:00:00+00:00,3354,491,225,55
2021-10-28 00:00:00+00:00,3121,752,159,40
2021-10-29 00:00:00+00:00,2596,603,156,42
2021-10-30 00:00:00+00:00,1062,175,58,29
2021-10-31 00:00:00+00:00,1043,159,42,32
2021-11-01 00:00:00+00:00,3229,412,153,51
2021-11-02 00:00:00+00:00,3248,561,136,47
2021-11-03 00:00:00+00:00,2566,404,149,43
2021-11-04 00:00:00+00:00,2852,487,133,34
2021-11-05 00:00:00+00:00,2506,405,60,34
2021-11-06 00:00:00+00:00,1087,177,38,21
2021-11-07 00:00:00+00:00,924,146,25,14
2021-11-08 00:00:00+00:00,3338,635,86,41
2021-11-09 00:00:00+00:00,448,81,1,1
