time_iso8601,forks_cumulative
2020-07-14 00:00:00+00:00,1
2020-09-04 00:00:00+00:00,2
2020-09-09 00:00:00+00:00,3
2020-09-13 00:00:00+00:00,4
2020-09-22 00:00:00+00:00,5
2020-10-02 00:00:00+00:00,6
2020-10-05 00:00:00+00:00,7
2020-10-29 00:00:00+00:00,8
2020-11-22 00:00:00+00:00,9
2021-01-19 00:00:00+00:00,10
2021-02-06 00:00:00+00:00,11
2021-02-12 00:00:00+00:00,12
2021-02-27 00:00:00+00:00,13
2021-02-28 00:00:00+00:00,14
2021-04-04 00:00:00+00:00,15
2021-04-27 00:00:00+00:00,16
2021-05-05 00:00:00+00:00,17
2021-06-10 00:00:00+00:00,18
2021-06-21 00:00:00+00:00,19
2021-06-24 00:00:00+00:00,20
2021-07-15 00:00:00+00:00,21
2021-07-22 00:00:00+00:00,22
2021-07-23 00:00:00+00:00,23
2021-07-29 00:00:00+00:00,24
2021-08-11 00:00:00+00:00,25
2021-08-13 00:00:00+00:00,26
2021-09-16 00:00:00+00:00,27
2021-10-03 00:00:00+00:00,29
2021-10-25 00:00:00+00:00,30
2021-10-28 00:00:00+00:00,31
2021-10-31 00:00:00+00:00,32
2021-11-03 00:00:00+00:00,33
