time_iso8601,clones_total,clones_unique,views_total,views_unique
2021-10-26 00:00:00+00:00,1766,199,118,21
2021-10-27 00:00:00+00:00,1661,266,151,25
2021-10-28 00:00:00+00:00,1493,361,145,28
2021-10-29 00:00:00+00:00,1473,221,39,18
2021-10-30 00:00:00+00:00,655,162,15,9
2021-10-31 00:00:00+00:00,647,170,51,20
2021-11-01 00:00:00+00:00,1542,350,48,19
2021-11-02 00:00:00+00:00,1434,286,68,19
2021-11-03 00:00:00+00:00,1282,291,47,22
2021-11-04 00:00:00+00:00,1538,336,38,21
2021-11-05 00:00:00+00:00,1218,312,58,24
2021-11-06 00:00:00+00:00,677,206,16,9
2021-11-07 00:00:00+00:00,600,131,24,10
2021-11-08 00:00:00+00:00,1357,306,48,19
2021-11-09 00:00:00+00:00,204,39,2,2
