time_iso8601,stars_cumulative
2020-06-02 00:00:00+00:00,1
2020-06-04 00:00:00+00:00,2
2020-06-15 00:00:00+00:00,3
2020-08-27 00:00:00+00:00,4
2020-09-04 00:00:00+00:00,6
2020-09-14 00:00:00+00:00,7
2020-10-21 00:00:00+00:00,8
2020-11-23 00:00:00+00:00,10
2020-12-25 00:00:00+00:00,11
2021-01-19 00:00:00+00:00,12
2021-01-27 00:00:00+00:00,13
2021-01-29 00:00:00+00:00,14
2021-02-13 00:00:00+00:00,15
2021-02-26 00:00:00+00:00,16
2021-03-21 00:00:00+00:00,17
2021-04-03 00:00:00+00:00,18
2021-04-29 00:00:00+00:00,19
2021-05-21 00:00:00+00:00,20
2021-06-16 00:00:00+00:00,21
2021-07-03 00:00:00+00:00,22
2021-07-16 00:00:00+00:00,23
2021-08-07 00:00:00+00:00,24
2021-08-22 00:00:00+00:00,25
2021-08-27 00:00:00+00:00,26
2021-08-28 00:00:00+00:00,27
2021-09-04 00:00:00+00:00,28
2021-09-18 00:00:00+00:00,29
2021-10-08 00:00:00+00:00,30
2021-10-14 00:00:00+00:00,31
2021-10-28 00:00:00+00:00,32
2021-10-29 00:00:00+00:00,33
2021-11-01 00:00:00+00:00,34
